apygOld,apygNew,candidate,candidateUrl,votes
Naujamiesčio,Naujosios Vilnios,Irena DEGUTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67288/Kandidato67288Anketa.html,539
Naujamiesčio,Naujosios Vilnios,Neringa VENCKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66658/Kandidato66658Anketa.html,318
Naujamiesčio,Naujosios Vilnios,Faustas LATĖNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66885/Kandidato66885Anketa.html,237
Naujamiesčio,Naujosios Vilnios,Jolanta GAUDUTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67900/Kandidato67900Anketa.html,514
Naujamiesčio,Naujosios Vilnios,Arminas LYDEKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67091/Kandidato67091Anketa.html,88
Naujamiesčio,Naujosios Vilnios,Irina ROZOVA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68430/Kandidato68430Anketa.html,531
Naujamiesčio,Naujosios Vilnios,Vytautas BOGUŠIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69728/Kandidato69728Anketa.html,88
Naujamiesčio,Naujosios Vilnios,Liucija BORUSEVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66512/Kandidato66512Anketa.html,133
Naujamiesčio,Naujosios Vilnios,Miroslavas MONKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68127/Kandidato68127Anketa.html,70
Naujamiesčio,Naujosios Vilnios,Vitalijus BALKUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68752/Kandidato68752Anketa.html,43
Naujamiesčio,Naujosios Vilnios,Juozas MURAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67479/Kandidato67479Anketa.html,12
Naujamiesčio,Naujosios Vilnios,Dainius Petras PAUKŠTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68360/Kandidato68360Anketa.html,30
Naujamiesčio,Naujosios Vilnios,Robertas KASPEROVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67765/Kandidato67765Anketa.html,23
Naujamiesčio,Naujosios Vilnios,Janas JUREVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67681/Kandidato67681Anketa.html,6
Naujamiesčio,Naujosios Vilnios,Gediminas PELĖDŽIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70028/Kandidato70028Anketa.html,15
Senamiesčio,Žirmūnų,Arvydas ANUŠAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67292/Kandidato67292Anketa.html,512
Senamiesčio,Žirmūnų,Petras AUŠTREVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67072/Kandidato67072Anketa.html,354
Senamiesčio,Žirmūnų,Agnė ZUOKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68128/Kandidato68128Anketa.html,269
Senamiesčio,Žirmūnų,Marija Aušrinė PAVILIONIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66825/Kandidato66825Anketa.html,229
Senamiesčio,Žirmūnų,Juzef KVETKOVSKIJ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68435/Kandidato68435Anketa.html,123
Senamiesčio,Žirmūnų,Nijolė JAGELAVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67919/Kandidato67919Anketa.html,151
Senamiesčio,Žirmūnų,Gintaras SONGAILA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68293/Kandidato68293Anketa.html,120
Senamiesčio,Žirmūnų,Raimonda KAROSAITĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66518/Kandidato66518Anketa.html,62
Senamiesčio,Žirmūnų,Justinas NAVIKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68749/Kandidato68749Anketa.html,29
Senamiesčio,Žirmūnų,Nora RIBOKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69754/Kandidato69754Anketa.html,34
Senamiesčio,Žirmūnų,Marija TAMKEVIČIŪTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66957/Kandidato66957Anketa.html,27
Senamiesčio,Žirmūnų,Eglė VOLUNGEVIČIŪTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68882/Kandidato68882Anketa.html,15
Senamiesčio,Žirmūnų,Gražina BOGDANSKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67640/Kandidato67640Anketa.html,6
Senamiesčio,Žirmūnų,Gintaras GURČINAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70027/Kandidato70027Anketa.html,7
Senamiesčio,Fabijoniškių,Arvydas ANUŠAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67292/Kandidato67292Anketa.html,424
Senamiesčio,Fabijoniškių,Petras AUŠTREVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67072/Kandidato67072Anketa.html,345
Senamiesčio,Fabijoniškių,Agnė ZUOKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68128/Kandidato68128Anketa.html,278
Senamiesčio,Fabijoniškių,Marija Aušrinė PAVILIONIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66825/Kandidato66825Anketa.html,224
